Product_Collection,Vertical_Segment,Launch_Year,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Cache,Instruction_Set,TDP,Max_Memory_Size,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth
8th Generation Intel® Core™ i5 Processors,Mobile,2017.5,14,297,4,8,1.6,6,64-bit,15,32,2,34.1
8th Generation Intel® Core™ i7 Processors,Mobile,2017.5,14,409,4,8,1.8,8,64-bit,15,32,2,34.1
Intel® Core™ X-series Processors,Desktop,2017.5,14,1189,12,24,2.9,16.5,64-bit,140,128,4,35.07890148212729
Intel® Core™ X-series Processors,Desktop,2017.5,34.664870689655174,310.6126932084309,14,28,3.1,19.25,NA,165,128,4,35.07890148212729
Intel® Core™ X-series Processors,Desktop,2017.5,34.664870689655174,310.6126932084309,16,32,2.8,22,NA,165,128,4,35.07890148212729
Intel® Core™ X-series Processors,Desktop,2017.5,34.664870689655174,310.6126932084309,18,36,2.6,24.75,NA,165,128,4,35.07890148212729
8th Generation Intel® Core™ i7 Processors,Mobile,2017.5,14,409,4,8,1.9,8,64-bit,15,32,2,34.1
8th Generation Intel® Core™ i5 Processors,Mobile,2017.5,14,297,4,8,1.7,6,64-bit,15,32,2,34.1
Intel® Atom™ Processor C Series,Embedded,2017.5,22,39,2,2,1.5,1,NA,7,16,1,35.07890148212729
Intel® Atom™ Processor C Series,Embedded,2017.5,22,64,4,4,1.4,2,NA,10,32,2,35.07890148212729
Intel® Atom™ Processor C Series,Server,2017.5,14,449,16,16,2,16,64-bit,31,256,2,35.07890148212729
Intel® Atom™ Processor C Series,Server,2017.5,14,434,16,16,2.1,16,64-bit,32,256,2,35.07890148212729
Intel® Atom™ Processor C Series,Server,2017.5,14,389,16,16,1.7,16,64-bit,24,256,2,35.07890148212729
Intel® Atom™ Processor C Series,Server,2017.5,14,289,12,12,1.9,12,64-bit,21.5,256,2,35.07890148212729
Intel® Atom™ Processor C Series,Server,2017.5,14,332,12,12,2,12,64-bit,25,256,2,35.07890148212729
Intel® Atom™ Processor C Series,Server,2017.5,14,323,12,12,2.1,12,64-bit,25,256,2,35.07890148212729
Intel® Atom™ Processor C Series,Server,2017.5,14,369,12,12,2,12,64-bit,25,256,2,35.07890148212729
Intel® Atom™ Processor C Series,Server,2017.5,14,193,8,8,2.2,16,64-bit,25,256,2,35.07890148212729
Intel® Atom™ Processor C Series,Server,2017.5,14,171,8,8,2.2,16,64-bit,21,256,2,35.07890148212729
Intel® Atom™ Processor C Series,Server,2017.5,14,209,8,8,1.7,16,64-bit,17,256,2,35.07890148212729
Intel® Atom™ Processor C Series,Server,2017.5,14,86,4,4,2.2,8,64-bit,16,256,2,35.07890148212729
Intel® Atom™ Processor C Series,Server,2017.5,14,75,4,4,2.1,8,64-bit,15,256,2,35.07890148212729
Intel® Atom™ Processor C Series,Server,2017.5,14,86,4,4,1.6,8,64-bit,11.5,256,2,35.07890148212729
Intel® Atom™ Processor C Series,Server,2017.5,14,32,2,2,1.6,4,64-bit,9.5,128,1,35.07890148212729
Intel® Xeon® Processor D Family,Server,2017.5,14,192,4,8,1.6,6,64-bit,35,128,2,35.07890148212729
Intel® Xeon® Processor E3 v6 Family,Server,2017.5,14,450,4,8,4.1,8,64-bit,79,64,2,37.5
Intel® Xeon® Processor D Family,Server,2017.5,14,256,4,8,2,6,64-bit,45,128,2,35.07890148212729
Intel® Xeon® Processor D Family,Server,2017.5,14,470,6,12,2.1,9,64-bit,45,128,2,35.07890148212729
Intel® Xeon® Processor D Family,Server,2017.5,14,652,8,16,1.9,12,64-bit,45,128,2,35.07890148212729
Intel® Xeon® Processor D Family,Server,2017.5,14,855,8,16,2.3,12,64-bit,65,128,2,35.07890148212729
Intel® Xeon® Processor W Family,Server,2017.5,14,310.6126932084309,18,36,2.3,24.75,64-bit,140,512,4,85.3
Intel® Xeon® Processor W Family,Server,2017.5,14,1,10,20,3.3,13.75,64-bit,140,512,4,85.3
Intel® Xeon® Processor W Family,Server,2017.5,14,1,8,16,3.7,11,64-bit,140,512,4,85.3
Intel® Xeon® Processor W Family,Server,2017.5,14,835,6,12,3.7,8.25,64-bit,140,512,4,85.3
Intel® Xeon® Processor W Family,Server,2017.5,14,617,6,12,3.6,8.25,64-bit,140,512,4,85.3
Intel® Xeon® Processor W Family,Server,2017.5,14,444,4,8,4,8.25,64-bit,120,512,4,85.3
Intel® Xeon® Processor W Family,Server,2017.5,14,294,4,8,3.6,8.25,64-bit,120,512,4,85.3
Intel® Xeon® Scalable Processors,Server,2017.5,14,213,6,6,1.7,8.25,NA,85,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,306,8,8,1.7,11,NA,85,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,417,8,16,1.8,11,NA,85,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,501,8,16,2,11,NA,70,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,501,8,16,2.1,11,NA,85,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,473,4,8,2.6,8.25,NA,85,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,773,10,20,2.2,13.75,NA,85,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,694,10,20,2.2,13.75,NA,85,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,1002,12,24,2.1,16.5,NA,85,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,310.6126932084309,12,24,2.1,16.5,NA,85,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,1,10,20,2.4,13.75,NA,85,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,1,12,24,2.3,16.5,NA,105,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,310.6126932084309,14,28,1.9,19.25,NA,85,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,1555,14,28,2.2,19.25,NA,105,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,1221,4,8,3.6,16.5,NA,105,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,1,14,28,2.2,19.25,NA,105,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,1,12,24,2.6,19.25,NA,125,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,1,12,24,2.6,19.25,NA,135,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,1,12,24,2.6,19.25,NA,125,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,1691,6,12,3.4,19.25,NA,115,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,1894,16,32,2.1,22,NA,125,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,2,16,32,2.1,22,NA,135,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,1,16,32,2.1,22,NA,125,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,2,14,28,2.6,19.25,NA,140,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,5,8,16,3.2,24.75,NA,130,1.5,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,2214,8,16,3.2,24.75,NA,130,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,2,12,24,3,24.75,NA,150,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,2612,20,40,2,27.5,NA,125,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,2,20,40,2,27.5,NA,135,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,2,20,40,2,27.5,NA,125,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,2445,18,36,2.3,24.75,NA,140,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,5,18,36,2.3,24.75,NA,140,1.5,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,2946,16,32,2.6,22,NA,150,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,5,16,32,2.6,22,NA,150,1.5,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,2,8,16,3.5,24.75,NA,150,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,3,16,32,2.6,22,NA,160,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,3,12,24,3.2,24.75,NA,165,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,3072,20,40,2.4,27.5,NA,150,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,3,20,40,2.4,27.5,NA,160,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,3,18,36,2.7,24.75,NA,165,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,3655,22,44,2.1,30.25,NA,140,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,3,18,36,3,24.75,NA,200,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,3,16,32,2,22,NA,125,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,7,4,8,3.6,16.5,NA,105,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,7,12,24,3,24.75,NA,150,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,4702,24,48,2.1,33,NA,150,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,4,24,48,2.1,33,NA,160,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,4,24,48,2.1,33,NA,150,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,7,24,48,2.1,33,NA,150,1.5,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,6114,26,52,2,35.75,NA,150,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,5,24,48,2.7,33,NA,205,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,7405,26,52,2.1,35.75,NA,165,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,10,26,52,2.1,35.75,NA,165,1.5,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,8,28,56,2.1,38.5,NA,165,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,310.6126932084309,28,56,2.1,38.5,NA,173,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,11,28,56,2.1,38.5,NA,165,1.5,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,10,28,56,2.5,38.5,NA,205,768,6,35.07890148212729
Intel® Xeon® Scalable Processors,Server,2017.5,14,13,28,56,2.5,38.5,NA,205,1.5,6,35.07890148212729
Intel® Pentium® Processor 4000 Series,Mobile,2017.25,14,161,2,4,1.6,2,64-bit,6,16,2,29.8
Intel® Celeron® Processor G Series,Desktop,2017.25,34.664870689655174,42,2,2,2.9,2,64-bit,54,64,2,35.07890148212729
Intel® Celeron® Processor G Series,Desktop,2017.25,34.664870689655174,42,2,2,2.7,2,64-bit,35,64,2,35.07890148212729
Intel® Celeron® Processor 3000 Series,Mobile,2017.25,14,310.6126932084309,2,2,1.5,2,64-bit,6,16,2,29.8
Intel® Core™ X-series Processors,Desktop,2017.25,14,242,4,4,4,6,64-bit,112,64,2,35.07890148212729
Intel® Core™ X-series Processors,Desktop,2017.25,14,339,4,8,4.3,8,64-bit,112,64,2,35.07890148212729
Intel® Core™ X-series Processors,Desktop,2017.25,14,383,6,12,3.5,8.25,64-bit,140,128,4,35.07890148212729
Intel® Core™ X-series Processors,Desktop,2017.25,14,989,10,20,3.3,13.75,64-bit,140,128,4,35.07890148212729
Intel® Core™ X-series Processors,Desktop,2017.25,14,589,8,16,3.6,11,64-bit,140,128,4,35.07890148212729
Intel® Itanium® Processor 9700 Series,Server,2017.25,32,4,8,16,2.66,32,NA,170,122.35792439372325,2.6157112526539277,35.07890148212729
Intel® Xeon® Processor E3 v6 Family,Embedded,2017.25,14,310.6126932084309,4,4,2.1,6,64-bit,25,64,2,34.1
Intel® Xeon® Processor E3 v6 Family,Embedded,2017.25,14,310.6126932084309,4,4,2.9,6,64-bit,45,64,2,34.1
Intel® Itanium® Processor 9700 Series,Server,2017.25,32,3,4,8,2.53,32,NA,170,122.35792439372325,2.6157112526539277,35.07890148212729
Intel® Itanium® Processor 9700 Series,Server,2017.25,32,2,8,16,2.13,24,NA,170,122.35792439372325,2.6157112526539277,35.07890148212729
Intel® Itanium® Processor 9700 Series,Server,2017.25,32,1,4,8,1.73,20,NA,130,122.35792439372325,2.6157112526539277,35.07890148212729
7th Generation Intel® Core™ i3 Processors,Mobile,2017.25,14,310.6126932084309,2,4,2.7,3,64-bit,15,32,2,34.1
7th Generation Intel® Core™ m Processors,Mobile,2017.25,14,281,2,4,1.1,4,64-bit,4.5,16,2,29.8
7th Generation Intel® Core™ i5 Processors,Mobile,2017,14,281,2,4,1.2,4,64-bit,4.5,16,2,29.8
Intel® Pentium® Processor 4000 Series,Mobile,2017,14,161,2,4,1.5,2,64-bit,6,16,2,29.8
Intel® Pentium® Processor 4000 Series,Mobile,2017,14,161,2,4,2.3,2,64-bit,15,32,2,34.1
Intel® Celeron® Processor G Series,Desktop,2017,14,42,2,2,2.9,2,64-bit,51,64,2,35.07890148212729
Intel® Celeron® Processor G Series,Desktop,2017,14,42,2,2,2.7,2,64-bit,35,64,2,35.07890148212729
Intel® Celeron® Processor G Series,Desktop,2017,14,52,2,2,3,2,64-bit,51,64,2,35.07890148212729
Intel® Celeron® Processor 3000 Series,Mobile,2017,14,107,2,2,1.8,2,64-bit,15,32,2,34.1
Intel® Celeron® Processor 3000 Series,Mobile,2017,14,107,2,2,2.2,2,64-bit,15,32,2,34.1
7th Generation Intel® Core™ i5 Processors,Mobile,2017,14,304,2,4,2.2,4,64-bit,15,32,2,34.1
7th Generation Intel® Core™ i5 Processors,Mobile,2017,14,310.6126932084309,2,4,3.1,4,64-bit,28,32,2,34.1
7th Generation Intel® Core™ i5 Processors,Mobile,2017,14,310.6126932084309,2,4,3.3,4,64-bit,28,32,2,34.1
7th Generation Intel® Core™ i5 Processors,Mobile,2017,14,250,4,4,2.5,6,64-bit,45,64,2,34.1
7th Generation Intel® Core™ i5 Processors,Mobile,2017,14,281,2,4,2.6,3,64-bit,15,32,2,34.1
7th Generation Intel® Core™ i5 Processors,Mobile,2017,14,304,2,4,2.3,4,64-bit,15,32,2,34.1
7th Generation Intel® Core™ i5 Processors,Desktop,2017,14,182,4,4,3,6,64-bit,65,64,2,35.07890148212729
7th Generation Intel® Core™ i5 Processors,Desktop,2017,14,182,4,4,2.4,6,64-bit,35,64,2,35.07890148212729
7th Generation Intel® Core™ i5 Processors,Embedded,2017,14,250,4,4,2.9,6,64-bit,45,64,2,34.1
7th Generation Intel® Core™ i5 Processors,Mobile,2017,14,310.6126932084309,4,4,2.8,6,64-bit,45,64,2,34.1
7th Generation Intel® Core™ i5 Processors,Embedded,2017,14,250,4,4,2.1,6,64-bit,25,64,2,34.1
7th Generation Intel® Core™ i5 Processors,Desktop,2017,14,192,4,4,2.7,6,64-bit,35,64,2,35.07890148212729
7th Generation Intel® Core™ i5 Processors,Desktop,2017,14,192,4,4,3.4,6,64-bit,65,64,2,35.07890148212729
7th Generation Intel® Core™ i5 Processors,Desktop,2017,14,213,4,4,3.5,6,64-bit,65,64,2,35.07890148212729
7th Generation Intel® Core™ i5 Processors,Desktop,2017,14,213,4,4,2.8,6,64-bit,35,64,2,35.07890148212729
7th Generation Intel® Core™ i5 Processors,Desktop,2017,14,242,4,4,3.8,6,64-bit,91,64,2,35.07890148212729
7th Generation Intel® Core™ i7 Processors,Mobile,2017,14,415,2,4,2.4,4,64-bit,15,32,2,34.1
7th Generation Intel® Core™ i7 Processors,Mobile,2017,14,310.6126932084309,2,4,3.5,4,64-bit,28,32,2,34.1
7th Generation Intel® Core™ i7 Processors,Mobile,2017,14,393,2,4,2.8,4,64-bit,15,32,2,34.1
7th Generation Intel® Core™ i7 Processors,Mobile,2017,14,415,2,4,2.5,4,64-bit,15,32,2,34.1
7th Generation Intel® Core™ i7 Processors,Desktop,2017,14,303,4,8,2.9,8,64-bit,35,64,2,35.07890148212729
7th Generation Intel® Core™ i7 Processors,Desktop,2017,14,339,4,8,4.2,8,64-bit,91,64,2,35.07890148212729
7th Generation Intel® Core™ i7 Processors,Desktop,2017,14,303,4,8,3.6,8,64-bit,65,64,2,35.07890148212729
7th Generation Intel® Core™ i7 Processors,Mobile,2017,14,378,4,8,2.8,6,64-bit,45,64,2,34.1
7th Generation Intel® Core™ i7 Processors,Embedded,2017,14,378,4,8,3,8,64-bit,45,64,2,34.1
7th Generation Intel® Core™ i7 Processors,Mobile,2017,14,378,4,8,2.9,8,64-bit,45,64,2,34.1
7th Generation Intel® Core™ i7 Processors,Mobile,2017,14,378,4,8,2.9,8,64-bit,45,64,2,34.1
7th Generation Intel® Core™ i7 Processors,Mobile,2017,14,568,4,8,3.1,8,64-bit,45,64,2,34.1
Intel® Atom™ Processor C Series,Server,2017,14,27,2,2,1.5,4,64-bit,9,128,1,35.07890148212729
Intel® Xeon® Processor E3 v6 Family,Server,2017,14,193,4,4,3,8,64-bit,72,64,2,37.5
Intel® Xeon® Processor E3 v6 Family,Server,2017,14,213,4,4,3.3,8,64-bit,73,64,2,37.5
Intel® Xeon® Processor E3 v6 Family,Server,2017,14,250,4,8,3.5,8,64-bit,72,64,2,37.5
Intel® Xeon® Processor E3 v6 Family,Server,2017,14,272,4,8,3.7,8,64-bit,72,64,2,37.5
Intel® Xeon® Processor E3 v6 Family,Server,2017,14,284,4,8,3.7,8,64-bit,73,64,2,37.5
Intel® Xeon® Processor E3 v6 Family,Server,2017,14,328,4,8,3.8,8,64-bit,72,64,2,37.5
Intel® Xeon® Processor E3 v6 Family,Server,2017,14,339,4,8,3.8,8,64-bit,73,64,2,37.5
Intel® Xeon® Processor E3 v6 Family,Server,2017,14,383,4,8,3.9,8,64-bit,72,64,2,37.5
Intel® Xeon® Processor E3 v6 Family,Embedded,2017,14,433,4,8,2.2,8,64-bit,25,64,2,34.1
Intel® Xeon® Processor E3 v6 Family,Mobile,2017,14,434,4,8,3,8,64-bit,45,64,2,34.1
Intel® Xeon® Processor E3 v6 Family,Mobile,2017,14,623,4,8,3.1,8,64-bit,45,64,2,34.1
Intel® Pentium® Processor G Series,Desktop,2017,14,64,2,4,3.5,3,64-bit,54,64,2,35.07890148212729
Intel® Pentium® Processor G Series,Desktop,2017,14,64,2,4,2.9,3,64-bit,35,64,2,35.07890148212729
Intel® Pentium® Processor G Series,Desktop,2017,14,86,2,4,3.7,3,64-bit,51,64,2,35.07890148212729
Intel® Pentium® Processor G Series,Desktop,2017,14,75,2,4,3.6,3,64-bit,51,64,2,35.07890148212729
Intel® Pentium® Processor G Series,Desktop,2017,14,75,2,4,3,3,64-bit,35,64,2,35.07890148212729
Intel® Xeon® Processor E7 v4 Family,Server,2017,14,8,24,48,2.4,60,64-bit,165,3.07,4,85
7th Generation Intel® Core™ i3 Processors,Mobile,2017,14,225,2,4,3,3,64-bit,35,64,2,34.1
7th Generation Intel® Core™ i3 Processors,Mobile,2017,14,310.6126932084309,2,4,2.8,3,64-bit,28,32,2,34.1
7th Generation Intel® Core™ i3 Processors,Desktop,2017,14,117,2,4,3.9,3,64-bit,51,64,2,35.07890148212729
7th Generation Intel® Core™ i3 Processors,Embedded,2017,14,225,2,4,2.9,3,64-bit,35,64,2,34.1
7th Generation Intel® Core™ i3 Processors,Desktop,2017,14,117,2,4,3.4,3,64-bit,35,64,2,35.07890148212729
7th Generation Intel® Core™ i3 Processors,Desktop,2017,14,117,2,4,3.4,3,64-bit,35,64,2,34.1
7th Generation Intel® Core™ i3 Processors,Desktop,2017,14,117,2,4,3.9,3,64-bit,54,64,2,34.1
7th Generation Intel® Core™ i3 Processors,Embedded,2017,14,225,2,4,2.1,3,64-bit,25,64,2,34.1
7th Generation Intel® Core™ i3 Processors,Desktop,2017,14,138,2,4,3.5,4,64-bit,35,64,2,35.07890148212729
7th Generation Intel® Core™ i3 Processors,Desktop,2017,14,138,2,4,4,4,64-bit,51,64,2,35.07890148212729
7th Generation Intel® Core™ i3 Processors,Desktop,2017,14,149,2,4,4.1,4,64-bit,51,64,2,35.07890148212729
7th Generation Intel® Core™ i3 Processors,Desktop,2017,14,168,2,4,4.2,4,64-bit,60,64,2,35.07890148212729
Intel® Atom™ Processor X Series,Mobile,2016.75,28,310.6126932084309,4,4,13.353362115488396,1,64-bit,62.42167580910587,2,1,4.2
Intel® Atom™ Processor X Series,Mobile,2016.75,28,310.6126932084309,4,4,13.353362115488396,1,64-bit,62.42167580910587,2,1,4.2
Intel® Atom™ Processor X Series,Mobile,2016.75,28,310.6126932084309,4,4,13.353362115488396,1,64-bit,62.42167580910587,2,1,4.2
Intel® Atom™ Processor X Series,Embedded,2016.75,14,310.6126932084309,2,2,1.3,2,64-bit,6.5,8,4,34.1
Intel® Atom™ Processor X Series,Embedded,2016.75,14,310.6126932084309,4,4,1.6,2,64-bit,9.5,8,4,34.1
Intel® Atom™ Processor X Series,Embedded,2016.75,14,310.6126932084309,4,4,1.6,2,64-bit,12,8,4,38.4
Intel® Xeon Phi™ x200 Product Family,Server,2016.75,14,3,72,8.731416549789621,1.5,36,64-bit,260,384,6,115.2
Intel® Xeon Phi™ x200 Product Family,Server,2016.75,14,3,72,8.731416549789621,1.5,36,64-bit,245,384,6,115.2
Intel® Xeon Phi™ x200 Product Family,Server,2016.75,14,2,68,8.731416549789621,1.4,34,64-bit,230,384,6,115.2
Intel® Xeon Phi™ x200 Product Family,Server,2016.75,14,2,64,8.731416549789621,1.3,32,64-bit,230,384,6,115.2
Intel® Xeon Phi™ x200 Product Family,Server,2016.75,14,2,64,8.731416549789621,1.3,32,64-bit,230,384,6,102
6th Generation Intel® Core™ i3 Processors,Mobile,2016.75,14,281,2,4,2,3,64-bit,15,32,2,34.1
7th Generation Intel® Core™ i7 Processors,Mobile,2016.5,14,393,2,4,1.3,4,64-bit,4.5,16,2,29.8
Intel® Pentium® Processor N Series,Mobile,2016.5,14,161,4,4,1.1,2,64-bit,6,8,2,35.07890148212729
